Date,Rig_count,Oil_Price
5/1/20,348,28.56
4/1/20,565,16.55
3/1/20,771,29.21
2/1/20,790,50.54
1/1/20,791,57.52
12/1/19,804,59.88
11/1/19,810,57.03
10/1/19,848,53.96
9/1/19,878,56.95
8/1/19,926,54.81
7/1/19,955,57.35
6/1/19,970,54.66
5/1/19,986,60.83
4/1/19,1013,63.86
3/1/19,1023,58.15
2/1/19,1048,54.95
1/1/19,1065,51.38
12/1/18,1077,49.52
11/1/18,1077,56.96
10/1/18,1063,70.75
9/1/18,1053,70.23
8/1/18,1050,68.06
7/1/18,1050,70.98
6/1/18,1056,67.87
5/1/18,1046,69.98
4/1/18,1011,66.25
3/1/18,989,62.73
2/1/18,969,62.23
1/1/18,937,63.7
12/1/17,930,57.88
11/1/17,911,56.64
10/1/17,922,51.58
9/1/17,940,49.82
8/1/17,947,48.04
7/1/17,953,46.63
6/1/17,931,45.18
5/1/17,893,48.48
4/1/17,853,51.06
3/1/17,789,49.33
2/1/17,744,53.47
1/1/17,683,52.5
12/1/16,634,51.97
11/1/16,580,45.66
10/1/16,543,49.78
9/1/16,509,45.18
8/1/16,481,44.72
7/1/16,449,44.65
6/1/16,417,48.76
5/1/16,407,46.71
4/1/16,437,40.75
3/1/16,477,37.55
2/1/16,532,30.32
1/1/16,643,31.68
12/1/15,711,37.19
11/1/15,760,42.44
10/1/15,791,46.22
9/1/15,848,45.48
8/1/15,883,42.87
7/1/15,866,50.9
6/1/15,861,59.82
5/1/15,889,59.27
4/1/15,976,54.45
3/1/15,1109,47.82
2/1/15,1348,50.58
1/1/15,1683,47.22
12/1/14,1882,59.29
11/1/14,1925,75.79
10/1/14,1924,84.4
9/1/14,1930,93.21
8/1/14,1904,96.54
7/1/14,1876,103.59
6/1/14,1861,105.79
5/1/14,1859,102.18
4/1/14,1835,102.07
3/1/14,1803,100.8
2/1/14,1769,100.82
1/1/14,1769,94.62
12/1/13,1771,97.63
11/1/13,1756,93.86
10/1/13,1744,100.54
9/1/13,1760,106.29
8/1/13,1781,106.57
7/1/13,1766,104.67
6/1/13,1761,95.77
5/1/13,1767,94.51
4/1/13,1755,92.02
3/1/13,1756,92.94
2/1/13,1762,95.31
1/1/13,1756,94.76
12/1/12,1784,87.86
11/1/12,1809,86.53
10/1/12,1834,89.49
9/1/12,1859,94.51
8/1/12,1913,94.13
7/1/12,1944,87.9
6/1/12,1972,82.3
5/1/12,1977,94.66
4/1/12,1961,103.32
3/1/12,1979,106.16
2/1/12,1990,102.2
1/1/12,2003,100.27
12/1/11,2003,98.56
11/1/11,2011,97.16
10/1/11,2017,86.32
9/1/11,1978,85.52
8/1/11,1957,86.33
7/1/11,1900,97.3
6/1/11,1863,96.26
5/1/11,1836,100.9
4/1/11,1790,109.53
3/1/11,1720,102.86
2/1/11,1718,88.58
1/1/11,1711,89.17
12/1/10,1711,89.15
11/1/10,1683,84.25
10/1/10,1668,81.89
9/1/10,1655,75.24
8/1/10,1638,76.6
7/1/10,1573,76.32
6/1/10,1531,75.34
5/1/10,1513,73.74
4/1/10,1479,84.29
3/1/10,1419,81.2
2/1/10,1350,76.39
1/1/10,1267,78.33
12/1/09,1172,74.47
11/1/09,1107,77.99
10/1/09,1044,75.72
9/1/09,1009,69.41
8/1/09,980,71.05
7/1/09,931,64.15
6/1/09,895,69.64
5/1/09,918,59.03
4/1/09,995,49.65
3/1/09,1105,47.94
2/1/09,1320,39.09
1/1/09,1553,41.71
12/1/08,1782,41.12
11/1/08,1935,57.31
10/1/08,1976,76.61
9/1/08,2014,104.11
8/1/08,1987,116.67
7/1/08,1932,133.37
6/1/08,1902,133.88
5/1/08,1863,125.4
4/1/08,1829,112.58
3/1/08,1797,105.45
2/1/08,1765,95.39
1/1/08,1749,92.97
12/1/07,1811,91.69
11/1/07,1798,94.77
10/1/07,1762,85.8
9/1/07,1783,79.92
8/1/07,1804,72.36
7/1/07,1777,74.12
6/1/07,1771,67.49
5/1/07,1748,63.46
4/1/07,1750,63.98
3/1/07,1749,60.44
2/1/07,1736,59.28
1/1/07,1714,54.51
12/1/06,1718,61.96
11/1/06,1706,59.08
10/1/06,1734,58.89
9/1/06,1739,63.8
8/1/06,1738,73.04
7/1/06,1681,74.41
6/1/06,1665,70.95
5/1/06,1635,70.84
4/1/06,1597,69.44
3/1/06,1551,62.69
2/1/06,1533,61.63
1/1/06,1473,65.49
12/1/05,1470,59.41
11/1/05,1486,58.32
10/1/05,1479,62.26
9/1/05,1452,65.59
8/1/05,1436,64.99
7/1/05,1398,59
6/1/05,1355,56.35
5/1/05,1320,49.83
4/1/05,1334,52.98
3/1/05,1306,54.19
2/1/05,1276,48.15
1/1/05,1255,46.84
12/1/04,1246,43.15
11/1/04,1262,48.47
10/1/04,1240,53.28
9/1/04,1240,45.94
8/1/04,1234,44.9
7/1/04,1213,40.78
6/1/04,1176,38.03
5/1/04,1164,40.28
4/1/04,1151,36.75
3/1/04,1135,36.74
2/1/04,1119,34.69
1/1/04,1101,34.31
12/1/03,1114,32.13
11/1/03,1111,31.11
10/1/03,1102,30.34
9/1/03,1093,28.31
8/1/03,1090,31.57
7/1/03,1081,30.76
6/1/03,1067,30.66
5/1/03,1034,28.11
4/1/03,983,28.17
3/1/03,941,33.51
2/1/03,907,35.83
1/1/03,854,32.95
12/1/02,856,29.46
11/1/02,834,26.35
10/1/02,851,28.84
9/1/02,860,29.66
8/1/02,848,28.39
7/1/02,851,26.97
6/1/02,842,25.52
5/1/02,826,27.04
4/1/02,750,26.18
3/1/02,763,24.53
2/1/02,825,20.72
1/1/02,867,19.72
12/1/01,901,19.39
11/1/01,1000,19.64
10/1/01,1111,22.17
9/1/01,1193,26.2
8/1/01,1252,27.37
7/1/01,1278,26.43
6/1/01,1270,27.6
5/1/01,1234,28.63
4/1/01,1206,27.49
3/1/01,1163,27.25
2/1/01,1136,29.61
1/1/01,1118,29.59
12/1/00,1097,28.44
11/1/00,1067,34.42
10/1/00,1055,33.11
9/1/00,1011,33.88
8/1/00,987,31.26
7/1/00,942,29.7
6/1/00,878,31.82
5/1/00,844,28.79
4/1/00,805,25.72
3/1/00,773,29.84
2/1/00,763,29.37
1/1/00,775,27.26
12/1/99,798,26.1
11/1/99,782,25
10/1/99,741,22.69
9/1/99,696,23.8
8/1/99,639,21.28
7/1/99,588,20.1
6/1/99,558,17.92
5/1/99,516,17.72
4/1/99,496,17.31
3/1/99,526,14.68
2/1/99,542,12.01
1/1/99,587,12.52
12/1/98,647,11.35
11/1/98,688,13
10/1/98,734,14.46
9/1/98,774,15.03
8/1/98,792,13.47
7/1/98,816,14.17
6/1/98,854,13.72
5/1/98,855,14.91
4/1/98,886,15.35
3/1/98,932,15.12
2/1/98,974,16.06
1/1/98,993,16.72
12/1/97,1013,18.33
11/1/97,983,20.19
10/1/97,996,21.33
9/1/97,1009,19.8
8/1/97,993,19.95
7/1/97,969,19.66
6/1/97,976,19.26
5/1/97,924,20.82
4/1/97,901,19.7
3/1/97,897,20.97
2/1/97,849,22.18
1/1/97,822,25.13
12/1/96,852,25.23
11/1/96,848,23.71
10/1/96,836,24.88
9/1/96,811,23.97
8/1/96,811,21.9
7/1/96,784,21.3
6/1/96,774,20.42
5/1/96,764,21.17
4/1/96,741,23.5
3/1/96,714,21.33
2/1/96,700,19.09
1/1/96,709,18.86
12/1/95,763,19.03
11/1/95,772,17.99
10/1/95,761,17.43
9/1/95,765,18.23
8/1/95,745,18.02
7/1/95,723,17.33
6/1/95,674,18.45
5/1/95,679,19.74
4/1/95,678,19.9
3/1/95,665,18.54
2/1/95,713,18.57
1/1/95,748,18.04
12/1/94,816,17.16
11/1/94,835,18.07
10/1/94,822,17.72
9/1/94,809,17.45
8/1/94,766,18.38
7/1/94,771,19.66
6/1/94,756,19.06
5/1/94,716,17.89
4/1/94,723,16.42
3/1/94,735,14.68
2/1/94,754,14.78
1/1/94,789,15.03
12/1/93,857,14.52
11/1/93,868,16.61
10/1/93,860,18.15
9/1/93,848,17.5
8/1/93,797,18.01
7/1/93,741,17.89
6/1/93,695,19.09
5/1/93,637,19.95
4/1/93,612,20.25
3/1/93,611,20.32
2/1/93,684,20.09
1/1/93,824,19.03
12/1/92,926,19.41
11/1/92,882,20.34
10/1/92,803,21.69
9/1/92,717,21.88
8/1/92,686,21.34
7/1/92,676,21.78
6/1/92,621,22.39
5/1/92,638,20.98
4/1/92,642,20.23
3/1/92,648,18.92
2/1/92,669,19.01
1/1/92,710,18.79
12/1/91,796,19.5
11/1/91,808,22.46
10/1/91,795,23.23
9/1/91,775,21.89
8/1/91,803,21.69
7/1/91,844,21.4
6/1/91,867,20.19
5/1/91,819,21.23
4/1/91,865,20.83
3/1/91,929,19.9
2/1/91,984,20.48
1/1/91,1068,25.23
12/1/90,1136,27.28
11/1/90,1137,32.33
10/1/90,1073,36.04
9/1/90,1042,33.51
8/1/90,987,27.31
7/1/90,1010,18.45
6/1/90,999,16.7
5/1/90,961,18.2
4/1/90,935,18.43
3/1/90,905,20.39
2/1/90,911,22.11
1/1/90,998,22.86
12/1/89,1065,21.1
11/1/89,1041,19.86
10/1/89,984,20.1
9/1/89,955,19.59
8/1/89,886,18.58
7/1/89,832,19.78
6/1/89,795,20.05
5/1/89,754,20.12
4/1/89,771,21.07
3/1/89,753,19.48
