U.S. Crude Oil and Natural Gas Rotary Rigs in Operation
https://www.eia.gov/dnav/ng/hist/e_ertrr0_xr0_nus_cm.htm
22:20:40 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Crude Oil and Natural Gas Rotary Rigs in Operation  Number of Elements
May 2020,348
Apr 2020,565
Mar 2020,771
Feb 2020,790
Jan 2020,791
Dec 2019,804
Nov 2019,810
Oct 2019,848
Sep 2019,878
Aug 2019,926
Jul 2019,955
Jun 2019,970
May 2019,986
Apr 2019,1013
Mar 2019,1023
Feb 2019,1048
Jan 2019,1065
Dec 2018,1077
Nov 2018,1077
Oct 2018,1063
Sep 2018,1053
Aug 2018,1050
Jul 2018,1050
Jun 2018,1056
May 2018,1046
Apr 2018,1011
Mar 2018,989
Feb 2018,969
Jan 2018,937
Dec 2017,930
Nov 2017,911
Oct 2017,922
Sep 2017,940
Aug 2017,947
Jul 2017,953
Jun 2017,931
May 2017,893
Apr 2017,853
Mar 2017,789
Feb 2017,744
Jan 2017,683
Dec 2016,634
Nov 2016,580
Oct 2016,543
Sep 2016,509
Aug 2016,481
Jul 2016,449
Jun 2016,417
May 2016,407
Apr 2016,437
Mar 2016,477
Feb 2016,532
Jan 2016,643
Dec 2015,711
Nov 2015,760
Oct 2015,791
Sep 2015,848
Aug 2015,883
Jul 2015,866
Jun 2015,861
May 2015,889
Apr 2015,976
Mar 2015,1109
Feb 2015,1348
Jan 2015,1683
Dec 2014,1882
Nov 2014,1925
Oct 2014,1924
Sep 2014,1930
Aug 2014,1904
Jul 2014,1876
Jun 2014,1861
May 2014,1859
Apr 2014,1835
Mar 2014,1803
Feb 2014,1769
Jan 2014,1769
Dec 2013,1771
Nov 2013,1756
Oct 2013,1744
Sep 2013,1760
Aug 2013,1781
Jul 2013,1766
Jun 2013,1761
May 2013,1767
Apr 2013,1755
Mar 2013,1756
Feb 2013,1762
Jan 2013,1756
Dec 2012,1784
Nov 2012,1809
Oct 2012,1834
Sep 2012,1859
Aug 2012,1913
Jul 2012,1944
Jun 2012,1972
May 2012,1977
Apr 2012,1961
Mar 2012,1979
Feb 2012,1990
Jan 2012,2003
Dec 2011,2003
Nov 2011,2011
Oct 2011,2017
Sep 2011,1978
Aug 2011,1957
Jul 2011,1900
Jun 2011,1863
May 2011,1836
Apr 2011,1790
Mar 2011,1720
Feb 2011,1718
Jan 2011,1711
Dec 2010,1711
Nov 2010,1683
Oct 2010,1668
Sep 2010,1655
Aug 2010,1638
Jul 2010,1573
Jun 2010,1531
May 2010,1513
Apr 2010,1479
Mar 2010,1419
Feb 2010,1350
Jan 2010,1267
Dec 2009,1172
Nov 2009,1107
Oct 2009,1044
Sep 2009,1009
Aug 2009,980
Jul 2009,931
Jun 2009,895
May 2009,918
Apr 2009,995
Mar 2009,1105
Feb 2009,1320
Jan 2009,1553
Dec 2008,1782
Nov 2008,1935
Oct 2008,1976
Sep 2008,2014
Aug 2008,1987
Jul 2008,1932
Jun 2008,1902
May 2008,1863
Apr 2008,1829
Mar 2008,1797
Feb 2008,1765
Jan 2008,1749
Dec 2007,1811
Nov 2007,1798
Oct 2007,1762
Sep 2007,1783
Aug 2007,1804
Jul 2007,1777
Jun 2007,1771
May 2007,1748
Apr 2007,1750
Mar 2007,1749
Feb 2007,1736
Jan 2007,1714
Dec 2006,1718
Nov 2006,1706
Oct 2006,1734
Sep 2006,1739
Aug 2006,1738
Jul 2006,1681
Jun 2006,1665
May 2006,1635
Apr 2006,1597
Mar 2006,1551
